rank,title,singer,album,date,like,week
55,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.01.08 ~ 2024.01.14,189234,2
56,주저하는 연인들을 위해,잔나비,전설,2024.01.08 ~ 2024.01.14,416815,2
57,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.08 ~ 2024.01.14,57785,2
58,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.08 ~ 2024.01.14,438880,2
59,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.08 ~ 2024.01.14,188412,2
60,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.08 ~ 2024.01.14,135137,2
61,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.01.08 ~ 2024.01.14,43023,2
62,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2024.01.08 ~ 2024.01.14,171528,2
63,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.08 ~ 2024.01.14,42782,2
64,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.08 ~ 2024.01.14,301007,2
65,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.08 ~ 2024.01.14,239228,2
66,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),2024.01.08 ~ 2024.01.14,208999,2
67,우리들의 블루스,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,104430,2
68,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.08 ~ 2024.01.14,462989,2
69,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.08 ~ 2024.01.14,122400,2
70,나에게 그대만이,탑현,나에게 그대만이,2024.01.08 ~ 2024.01.14,51302,2
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.08 ~ 2024.01.14,27262,2
72,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.08 ~ 2024.01.14,46157,2
