rank,title,singer,album,date,like
57,그댄 행복에 살텐데 (2022),그댄 행복에 살텐데 (2022),최유리,2023.01.02 ~ 2023.01.08,45087
58,위하여 (We Higher) (Prod. GroovyRoom),쇼미더머니 11 Episode 1,"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), 블라세 (BLASÉ), 노윤하, Polodared, Chillin Homie, Fleeky Bang",2023.01.02 ~ 2023.01.08,55854
59,새벽에 걸려온 너의 전화는,미련을 말하는,한동근,2023.01.02 ~ 2023.01.08,64585
60,눈이 오잖아(Feat.헤이즈),눈이 오잖아(Feat.헤이즈),이무진,2023.01.02 ~ 2023.01.08,135134
61,STAY,Stay,"The Kid LAROI, Justin Bieber",2023.01.02 ~ 2023.01.08,283122
62,Dynamite,Dynamite (DayTime Version),방탄소년단,2023.01.02 ~ 2023.01.08,462975
63,봄여름가을겨울 (Still Life),봄여름가을겨울 (Still Life),BIGBANG (빅뱅),2023.01.02 ~ 2023.01.08,306109
64,That That (prod. & feat. SUGA of BTS),싸다9,싸이 (PSY),2023.01.02 ~ 2023.01.08,137076
65,주저하는 연인들을 위해,전설,잔나비,2023.01.02 ~ 2023.01.08,416713
66,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",쇼미더머니 11 Semi Final,던말릭 (DON MALIK),2023.01.02 ~ 2023.01.08,22135
67,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,임영웅,2023.01.02 ~ 2023.01.08,174401
68,아픈 나를 (Prod. By 나얼),나얼 <Ballad Pop City>,성시경,2023.01.02 ~ 2023.01.08,22693
69,Love story,Seoul,볼빨간사춘기,2023.01.02 ~ 2023.01.08,124316
70,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",쇼미더머니 11 Episode 3,KHAN,2023.01.02 ~ 2023.01.08,24003
71,FOREVER 1,FOREVER 1 - The 7th Album,소녀시대 (GIRLS' GENERATION),2023.01.02 ~ 2023.01.08,111377
72,무지개,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,74070
73,Butter,Butter,방탄소년단,2023.01.02 ~ 2023.01.08,296561
74,London Boy,Polaroid,임영웅,2023.01.02 ~ 2023.01.08,60758
75,흩어지지 않게,흩어지지 않게,엠씨더맥스 (M.C the MAX),2023.01.02 ~ 2023.01.08,26007
76,봄날,YOU NEVER WALK ALONE,방탄소년단,2023.01.02 ~ 2023.01.08,561624
77,이 소설의 끝을 다시 써보려 해,이 소설의 끝을 다시 써보려 해,테이,2023.01.02 ~ 2023.01.08,11265
78,도깨비불 (Illusion),Girls - The 2nd Mini Album,aespa,2023.01.02 ~ 2023.01.08,98253
79,아버지,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,59499
80,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",쇼미더머니 11 Semi Final,이영지,2023.01.02 ~ 2023.01.08,16218
81,Polaroid,Polaroid,임영웅,2023.01.02 ~ 2023.01.08,54664
82,Permission to Dance,Butter / Permission to Dance,방탄소년단,2023.01.02 ~ 2023.01.08,230589
83,Off My Face,Justice (The Complete Edition),Justin Bieber,2023.01.02 ~ 2023.01.08,190078
84,Graduation,Candy - Winter Special Mini Album,NCT DREAM,2023.01.02 ~ 2023.01.08,73175
85,A bientot,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,55627
86,Yet To Come,Proof,방탄소년단,2023.01.02 ~ 2023.01.08,129394
87,첫 눈,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',EXO,2023.01.02 ~ 2023.01.08,287034
88,신호등,신호등,이무진,2023.01.02 ~ 2023.01.08,302784
89,인생찬가,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,54553
90,내 손을 잡아,최고의 사랑 OST Part.4,아이유,2023.01.02 ~ 2023.01.08,216235
91,SNEAKERS,CHECKMATE,ITZY (있지),2023.01.02 ~ 2023.01.08,81210
92,손이 참 곱던 그대,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,50868
93,All I Want for Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,2023.01.02 ~ 2023.01.08,236578
94,사랑해 진짜,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,52135
95,드라마,조각집,아이유,2023.01.02 ~ 2023.01.08,190540
96,strawberry moon,strawberry moon,아이유,2023.01.02 ~ 2023.01.08,230893
97,사랑한다고 말해줘,사랑한다고 말해줘,탑현,2023.01.02 ~ 2023.01.08,70751
98,연애편지,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,52189
99,Feel My Rhythm,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet (레드벨벳),2023.01.02 ~ 2023.01.08,155826
100,스티커 사진,스티커 사진,21학번,2023.01.02 ~ 2023.01.08,60437
1,Counting Stars (Feat. Beenzino),Counting Stars,BE'O (비오),2022.01.03 ~ 2022.01.09,172086
2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",쇼미더머니 10 Episode 2,sokodomo,2022.01.03 ~ 2022.01.09,226928
3,리무진 (Feat. MINO) (Prod. GRAY),쇼미더머니 10 Episode 3,BE'O (비오),2022.01.03 ~ 2022.01.09,195548
4,겨울잠,조각집,아이유,2022.01.03 ~ 2022.01.09,131935
5,ELEVEN,ELEVEN,IVE (아이브),2022.01.03 ~ 2022.01.09,192133
6,취중고백,취중고백,김민석,2022.01.03 ~ 2022.01.09,183361
7,사랑은 늘 도망가,신사와 아가씨 OST Part.2,임영웅,2022.01.03 ~ 2022.01.09,212151
8,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),쇼미더머니 10 Episode 3,베이식 (Basick),2022.01.03 ~ 2022.01.09,138449
9,눈이 오잖아(Feat.헤이즈),눈이 오잖아(Feat.헤이즈),이무진,2022.01.03 ~ 2022.01.09,135134
10,strawberry moon,strawberry moon,아이유,2022.01.03 ~ 2022.01.09,230893
11,다정히 내 이름을 부르면,다정히 내 이름을 부르면 (경서예지 x 전건호),"경서예지, 전건호",2022.01.03 ~ 2022.01.09,188351
12,Dreams Come True,Dreams Come True - SM STATION,aespa,2022.01.03 ~ 2022.01.09,109237
13,드라마,조각집,아이유,2022.01.03 ~ 2022.01.09,190540
14,불협화음 (Feat. AKMU) (Prod. GRAY),쇼미더머니 10 Semi Final,Mudd the student,2022.01.03 ~ 2022.01.09,84697
15,신호등,신호등,이무진,2022.01.03 ~ 2022.01.09,302784
16,Savage,Savage - The 1st Mini Album,aespa,2022.01.03 ~ 2022.01.09,162355
17,STAY,Stay,"The Kid LAROI, Justin Bieber",2022.01.03 ~ 2022.01.09,283122
18,Next Level,Next Level,aespa,2022.01.03 ~ 2022.01.09,264354
19,흰눈,흰눈,먼데이 키즈 (Monday Kiz),2022.01.03 ~ 2022.01.09,43983
