rank,title,singer,album,date,like,year,month,day,week,season
68,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.22,57797,2023,1,22,4,1
70,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.22,135142,2023,1,22,4,1
72,모래 알갱이,임영웅,모래 알갱이,2024.01.22,59564,2023,1,22,4,1
74,나에게 그대만이,탑현,나에게 그대만이,2024.01.22,51314,2023,1,22,4,1
75,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3,2024.01.22,36995,2023,1,22,4,1
78,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.22,42790,2023,1,22,4,1
80,Wife,(여자)아이들,2,2024.01.22,32644,2023,1,22,4,1
83,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.22,46175,2023,1,22,4,1
84,Do or Die,임영웅,Do or Die,2024.01.22,42018,2023,1,22,4,1
85,I Love My Body,화사 (HWASA),I Love My Body,2024.01.22,34652,2023,1,22,4,1
89,Talk Saxy,RIIZE,Talk Saxy,2024.01.22,50088,2023,1,22,4,1
93,화이트 (White),폴킴,화이트 (White),2024.01.22,18814,2023,1,22,4,1
96,숲,최유리,유영,2024.01.22,113667,2023,1,22,4,1
97,어른,Sondia,나의 아저씨 OST Part.2,2024.01.22,245738,2023,1,22,4,1
98,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.22,33824,2023,1,22,4,1
100,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.22,265321,2023,1,22,4,1
1,Love wins all,아이유,The Winning,2024.01.29,160797,2023,1,29,1,1
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.29,143931,2023,1,29,1,1
3,비의 랩소디,임재현,비의 랩소디,2024.01.29,68931,2023,1,29,1,1
4,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.29,114191,2023,1,29,1,1
5,에피소드,이무진,에피소드,2024.01.29,68436,2023,1,29,1,1
6,Love 119,RIIZE,Love 119,2024.01.29,95314,2023,1,29,1,1
7,Drama,aespa,Drama - The 4th Mini Album,2024.01.29,85818,2023,1,29,1,1
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.29,98248,2023,1,29,1,1
10,인사,범진,인사,2024.01.29,107860,2023,1,29,1,1
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.29,208123,2023,1,29,1,1
13,Baddie,IVE (아이브),I'VE MINE,2024.01.29,68660,2023,1,29,1,1
14,Get A Guitar,RIIZE,Get A Guitar,2024.01.29,90308,2023,1,29,1,1
15,Love Lee,AKMU (악뮤),Love Lee,2024.01.29,121202,2023,1,29,1,1
16,Wife,(여자)아이들,2,2024.01.29,32644,2023,1,29,1,1
18,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.29,69423,2023,1,29,1,1
19,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.29,85750,2023,1,29,1,1
20,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.29,287040,2023,1,29,1,1
21,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.29,53388,2023,1,29,1,1
22,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.29,125291,2023,1,29,1,1
23,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.29,162158,2023,1,29,1,1
