rank,title,singer,album,date,like,month,year,season
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.08.02,98248,1,2024,winter
9,Baddie,IVE (아이브),I'VE MINE,2024.01.08.02,68660,1,2024,winter
10,에피소드,이무진,에피소드,2024.01.08.02,68436,1,2024,winter
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.08.02,208123,1,2024,winter
12,Love Lee,AKMU (악뮤),Love Lee,2024.01.08.02,121202,1,2024,winter
13,I AM,IVE (아이브),I've IVE,2024.01.08.02,213131,1,2024,winter
14,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.08.02,69423,1,2024,winter
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.08.02,125291,1,2024,winter
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08.02,162158,1,2024,winter
17,Ditto,NewJeans,NewJeans 'OMG',2024.01.08.02,281588,1,2024,winter
18,Get A Guitar,RIIZE,Get A Guitar,2024.01.08.02,90308,1,2024,winter
19,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.08.02,85750,1,2024,winter
20,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.08.02,295879,1,2024,winter
21,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08.02,120579,1,2024,winter
22,Love 119,RIIZE,Love 119,2024.01.08.02,95314,1,2024,winter
23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.08.02,79716,1,2024,winter
24,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.08.02,287894,1,2024,winter
25,퀸카 (Queencard),(여자)아이들,I feel,2024.01.08.02,143725,1,2024,winter
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.08.02,212198,1,2024,winter
27,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.08.02,76423,1,2024,winter
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.08.02,436857,1,2024,winter
29,Standing Next to You,정국,GOLDEN,2024.01.08.02,69126,1,2024,winter
30,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.08.02,206592,1,2024,winter
31,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.08.02,56143,1,2024,winter
32,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.08.02,58526,1,2024,winter
33,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.08.02,132589,1,2024,winter
34,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.08.02,322187,1,2024,winter
35,Either Way,IVE (아이브),I'VE MINE,2024.01.08.02,75891,1,2024,winter
36,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.08.02,58696,1,2024,winter
37,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.08.02,37937,1,2024,winter
38,Fast Forward,전소미,GAME PLAN,2024.01.08.02,76086,1,2024,winter
39,OMG,NewJeans,NewJeans 'OMG',2024.01.08.02,200716,1,2024,winter
40,Kitsch,IVE (아이브),I've IVE,2024.01.08.02,157638,1,2024,winter
41,Off The Record,IVE (아이브),I'VE MINE,2024.01.08.02,57439,1,2024,winter
42,취중고백,김민석,취중고백,2024.01.08.02,183412,1,2024,winter
43,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.08.02,116721,1,2024,winter
44,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.08.02,53388,1,2024,winter
45,심(心),DK(디셈버),심(心),2024.01.08.02,78700,1,2024,winter
46,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.08.02,249361,1,2024,winter
47,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.08.02,172300,1,2024,winter
48,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.08.02,39656,1,2024,winter
49,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.08.02,89122,1,2024,winter
50,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.08.02,202590,1,2024,winter
51,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.08.02,39838,1,2024,winter
52,물론,허각,물론,2024.01.08.02,56688,1,2024,winter
53,After LIKE,IVE (아이브),After LIKE,2024.01.08.02,241599,1,2024,winter
54,해요 (2022),#안녕,해요 (2022),2024.01.08.02,97912,1,2024,winter
55,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.01.08.02,189258,1,2024,winter
56,주저하는 연인들을 위해,잔나비,전설,2024.01.08.02,416855,1,2024,winter
57,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.08.02,57797,1,2024,winter
58,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.08.02,438895,1,2024,winter
59,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.08.02,188432,1,2024,winter
