rank,title,singer,album,date,like,year,month,day,week,season
90,꽃송이가,버스커 버스커,버스커 버스커 1집,2014.03.31,102899,2014,3,31,1,0
2,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2014.04.07,234207,2014,4,7,2,0
18,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.04.07,345231,2014,4,7,2,0
2,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2014.04.14,234207,2014,4,14,3,0
18,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.04.14,345231,2014,4,14,3,0
20,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.04.21,345231,2014,4,21,4,0
2,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2014.04.21,234207,2014,4,21,4,0
1,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2014.04.28,234207,2014,4,28,1,0
24,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.04.28,345231,2014,4,28,1,0
32,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.05.05,345231,2014,5,5,2,0
2,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2014.05.05,234207,2014,5,5,2,0
53,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.05.12,345231,2014,5,12,3,0
3,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2014.05.12,234207,2014,5,12,3,0
67,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.05.19,345231,2014,5,19,4,0
6,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2014.05.19,234207,2014,5,19,4,0
78,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.05.26,345231,2014,5,26,5,0
8,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2014.05.26,234207,2014,5,26,5,0
43,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2014.12.01,171261,2014,12,1,1,1
64,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2014.12.01,180205,2014,12,1,1,1
90,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2014.12.08,236566,2014,12,8,2,1
33,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2014.12.08,180205,2014,12,8,2,1
24,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2014.12.08,171261,2014,12,8,2,1
39,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2014.12.15,236566,2014,12,15,3,1
14,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2014.12.15,171261,2014,12,15,3,1
18,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2014.12.15,180205,2014,12,15,3,1
87,Must Have Love,"SG 워너비, 브라운아이드걸스",SG워너비 & 브라운아이드걸스 싱글,2014.12.15,79477,2014,12,15,3,1
5,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2014.12.22,171261,2014,12,22,4,1
9,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2014.12.22,180205,2014,12,22,4,1
23,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2014.12.22,236566,2014,12,22,4,1
40,Must Have Love,"SG 워너비, 브라운아이드걸스",SG워너비 & 브라운아이드걸스 싱글,2014.12.22,79477,2014,12,22,4,1
13,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2014.12.29,171261,2014,12,29,1,1
18,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2014.12.29,180205,2014,12,29,1,1
81,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2014.12.29,236566,2014,12,29,1,1
97,Must Have Love,"SG 워너비, 브라운아이드걸스",SG워너비 & 브라운아이드걸스 싱글,2014.12.29,79477,2014,12,29,1,1
32,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.01.05,171261,2014,1,5,2,1
39,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2015.01.05,180205,2014,1,5,2,1
61,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2015.01.12,180205,2014,1,12,3,1
47,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.01.12,171261,2014,1,12,3,1
71,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.01.19,171261,2014,1,19,4,1
88,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2015.01.19,180205,2014,1,19,4,1
96,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.01.26,171261,2014,1,26,5,1
95,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.02.23,345230,2014,2,23,4,1
30,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.03.02,345230,2015,3,2,1,0
11,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.03.09,345230,2015,3,9,2,0
67,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.03.09,234205,2015,3,9,2,0
7,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.03.16,345230,2015,3,16,3,0
94,꽃송이가,버스커 버스커,버스커 버스커 1집,2015.03.16,102898,2015,3,16,3,0
24,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.03.16,234205,2015,3,16,3,0
67,꽃송이가,버스커 버스커,버스커 버스커 1집,2015.03.23,102898,2015,3,23,4,0
7,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.03.23,345230,2015,3,23,4,0
15,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.03.23,234205,2015,3,23,4,0
8,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.03.30,345230,2015,3,30,1,0
16,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.03.30,234205,2015,3,30,1,0
62,꽃송이가,버스커 버스커,버스커 버스커 1집,2015.03.30,102898,2015,3,30,1,0
65,꽃송이가,버스커 버스커,버스커 버스커 1집,2015.04.06,102898,2015,4,6,2,0
8,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.04.06,345230,2015,4,6,2,0
15,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.04.06,234205,2015,4,6,2,0
50,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2015.04.06,177245,2015,4,6,2,0
