rank,title,singer,album,date,like
28,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.15.03,206592
29,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.15.03,56143
30,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.15.03,76423
31,Standing Next to You,정국,GOLDEN,2024.01.15.03,69126
32,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.15.03,53388
33,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.15.03,322187
34,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.15.03,132588
35,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.15.03,58696
36,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.15.03,58526
37,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.15.03,39838
38,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.15.03,37937
39,Kitsch,IVE (아이브),I've IVE,2024.01.15.03,157638
40,Fast Forward,전소미,GAME PLAN,2024.01.15.03,76086
41,취중고백,김민석,취중고백,2024.01.15.03,183412
42,심(心),DK(디셈버),심(心),2024.01.15.03,78700
43,Either Way,IVE (아이브),I'VE MINE,2024.01.15.03,75891
44,OMG,NewJeans,NewJeans 'OMG',2024.01.15.03,200716
45,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.15.03,249361
46,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.15.03,116721
47,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.15.03,202590
48,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.15.03,89122
49,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.15.03,172300
50,물론,허각,물론,2024.01.15.03,56688
51,I Love You,안세하,I Love You,2024.01.15.03,19440
52,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.15.03,301222
53,Off The Record,IVE (아이브),I'VE MINE,2024.01.15.03,57439
54,해요 (2022),#안녕,해요 (2022),2024.01.15.03,97912
55,주저하는 연인들을 위해,잔나비,전설,2024.01.15.03,416855
56,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.15.03,39656
57,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.01.15.03,43042
58,After LIKE,IVE (아이브),After LIKE,2024.01.15.03,241599
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.15.03,438895
60,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.01.15.03,189258
61,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.15.03,188432
62,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.15.03,57797
63,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2024.01.15.03,171550
64,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.15.03,27279
65,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.15.03,135142
66,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),2024.01.15.03,209035
67,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.15.03,463005
68,우리들의 블루스,임영웅,IM HERO,2024.01.15.03,104437
69,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.15.03,262713
70,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.15.03,239228
