rank,title,singer,album,date,like
41,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.02.19.04,436857
42,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.02.19.04,322187
48,취중고백,김민석,취중고백,2024.02.19.04,183412
51,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.02.19.04,287040
52,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.02.19.04,438895
53,주저하는 연인들을 위해,잔나비,전설,2024.02.19.04,416855
54,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.02.19.04,202590
56,해요 (2022),#안녕,해요 (2022),2024.02.19.04,97912
57,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.02.19.04,249361
64,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.02.19.04,188432
68,After LIKE,IVE (아이브),After LIKE,2024.02.19.04,241598
75,우리들의 블루스,임영웅,IM HERO,2024.02.19.04,104437
80,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.02.19.04,463005
82,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.02.19.04,239228
83,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.02.19.04,561706
86,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.02.19.04,135142
88,다시 만날 수 있을까,임영웅,IM HERO,2024.02.19.04,84925
90,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.02.19.04,174425
93,Butter,방탄소년단,Butter,2024.02.19.04,296563
94,무지개,임영웅,IM HERO,2024.02.19.04,74103
96,아버지,임영웅,IM HERO,2024.02.19.04,59517
97,London Boy,임영웅,Polaroid,2024.02.19.04,60778
99,Polaroid,임영웅,Polaroid,2024.02.19.04,54686
100,인생찬가,임영웅,IM HERO,2024.02.19.04,54561
25,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.02.26.05,295879
29,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.02.26.05,212198
35,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.02.26.05,287894
36,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.02.26.05,206592
39,Ditto,NewJeans,NewJeans 'OMG',2024.02.26.05,281588
41,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.02.26.05,322187
42,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.02.26.05,436857
46,취중고백,김민석,취중고백,2024.02.26.05,183412
52,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.02.26.05,202590
53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.02.26.05,438895
54,해요 (2022),#안녕,해요 (2022),2024.02.26.05,97912
55,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.02.26.05,249361
57,주저하는 연인들을 위해,잔나비,전설,2024.02.26.05,416855
60,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.02.26.05,287040
64,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.02.26.05,188432
67,After LIKE,IVE (아이브),After LIKE,2024.02.26.05,241598
73,우리들의 블루스,임영웅,IM HERO,2024.02.26.05,104437
