rank,title,singer,album,date,like,year,month,day,week,season
98,Watch Me Woo!,PLAVE,ASTERUM : 134-1,2024.03.25.04,26705,2024,3,25,4,0
99,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2024.03.25.04,234203,2024,3,25,4,0
3,Magnetic,아일릿(ILLIT),SUPER REAL ME,2024.04.01.01,76989,2024,4,1,1,0
10,Smart,LE SSERAFIM (르세라핌),EASY,2024.04.01.01,40957,2024,4,1,1,0
38,Welcome to the Show,DAY6 (데이식스),Fourever,2024.04.01.01,38499,2024,4,1,1,0
52,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2024.04.01.01,345227,2024,4,1,1,0
62,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2024.04.01.01,234203,2024,4,1,1,0
73,Siren,RIIZE,Siren,2024.04.01.01,41702,2024,4,1,1,0
78,봄이 와도,로이킴,봄이 와도,2024.04.01.01,21319,2024,4,1,1,0
84,Smoothie,NCT DREAM,DREAM( )SCAPE,2024.04.01.01,36917,2024,4,1,1,0
85,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2024.04.01.01,177243,2024,4,1,1,0
87,Deja Vu,투모로우바이투게더,minisode 3: TOMORROW,2024.04.01.01,39524,2024,4,1,1,0
90,영원,DK(디셈버),영원 (남은 인생 10년 X DK(디셈버)),2024.04.01.01,8665,2024,4,1,1,0
94,너의 편이 돼 줄게,다비치,너의 편이 돼 줄게,2024.04.01.01,9285,2024,4,1,1,0
96,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,2024.04.01.01,15459,2024,4,1,1,0
1,Magnetic,아일릿(ILLIT),SUPER REAL ME,2024.04.08.02,76990,2024,4,8,2,0
8,Smart,LE SSERAFIM (르세라핌),EASY,2024.04.08.02,40957,2024,4,8,2,0
36,Welcome to the Show,DAY6 (데이식스),Fourever,2024.04.08.02,38499,2024,4,8,2,0
37,Siren,RIIZE,Siren,2024.04.08.02,41702,2024,4,8,2,0
40,고민중독,QWER,1st Mini Album 'MANITO',2024.04.08.02,23031,2024,4,8,2,0
49,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2024.04.08.02,345227,2024,4,8,2,0
51,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2024.04.08.02,234203,2024,4,8,2,0
60,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,2024.04.08.02,15459,2024,4,8,2,0
69,혹시 세상에 혼자 남겨진 것 같다면,우디 (Woody),When You Alone,2024.04.08.02,11776,2024,4,8,2,0
75,봄이 와도,로이킴,봄이 와도,2024.04.08.02,21319,2024,4,8,2,0
79,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2024.04.08.02,177243,2024,4,8,2,0
85,Deja Vu,투모로우바이투게더,minisode 3: TOMORROW,2024.04.08.02,39524,2024,4,8,2,0
88,영원,DK(디셈버),영원 (남은 인생 10년 X DK(디셈버)),2024.04.08.02,8665,2024,4,8,2,0
91,Smoothie,NCT DREAM,DREAM( )SCAPE,2024.04.08.02,36917,2024,4,8,2,0
93,개화 (Flowering),LUCY,DEAR.,2024.04.08.02,93171,2024,4,8,2,0
98,좋아해요,폴킴,눈물의 여왕 OST Part.6,2024.04.08.02,9709,2024,4,8,2,0
100,우리 영화,PLAVE,ASTERUM : 134-1,2024.04.08.02,27216,2024,4,8,2,0
36,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),쇼미더머니 11 Semi Final,2023.01.02.01,34755,2023,1,2,1,1
38,그 겨울이 잠든 거리에서,"경서예지, 전건호",그 겨울이 잠든 거리에서 (경서예지 x 전건호),2023.01.02.01,21470,2023,1,2,1,1
41,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Episode 3,2023.01.02.01,38164,2023,1,2,1,1
44,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2023.01.02.01,265321,2023,1,2,1,1
52,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,2023.01.02.01,72034,2023,1,2,1,1
58,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), 블라세 (BLASÉ), 노윤하, Polodared, Chillin Homie, Fleeky Bang",쇼미더머니 11 Episode 1,2023.01.02.01,55885,2023,1,2,1,1
60,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2023.01.02.01,135142,2023,1,2,1,1
66,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Semi Final,2023.01.02.01,22138,2023,1,2,1,1
68,아픈 나를 (Prod. By 나얼),성시경,나얼 <Ballad Pop City>,2023.01.02.01,22697,2023,1,2,1,1
70,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN,쇼미더머니 11 Episode 3,2023.01.02.01,24007,2023,1,2,1,1
71,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album,2023.01.02.01,111390,2023,1,2,1,1
75,흩어지지 않게,엠씨더맥스 (M.C the MAX),흩어지지 않게,2023.01.02.01,26011,2023,1,2,1,1
77,이 소설의 끝을 다시 써보려 해,테이,이 소설의 끝을 다시 써보려 해,2023.01.02.01,11268,2023,1,2,1,1
78,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,2023.01.02.01,98277,2023,1,2,1,1
80,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지,쇼미더머니 11 Semi Final,2023.01.02.01,16221,2023,1,2,1,1
84,Graduation,NCT DREAM,Candy - Winter Special Mini Album,2023.01.02.01,73201,2023,1,2,1,1
86,Yet To Come,방탄소년단,Proof,2023.01.02.01,129395,2023,1,2,1,1
87,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2023.01.02.01,287040,2023,1,2,1,1
88,신호등,이무진,신호등,2023.01.02.01,302824,2023,1,2,1,1
91,SNEAKERS,ITZY (있지),CHECKMATE,2023.01.02.01,81216,2023,1,2,1,1
92,손이 참 곱던 그대,임영웅,IM HERO,2023.01.02.01,50871,2023,1,2,1,1
93,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2023.01.02.01,236566,2023,1,2,1,1
94,사랑해 진짜,임영웅,IM HERO,2023.01.02.01,52135,2023,1,2,1,1
95,드라마,아이유,조각집,2023.01.02.01,190579,2023,1,2,1,1
96,strawberry moon,아이유,strawberry moon,2023.01.02.01,230907,2023,1,2,1,1
97,사랑한다고 말해줘,탑현,사랑한다고 말해줘,2023.01.02.01,70784,2023,1,2,1,1
98,연애편지,임영웅,IM HERO,2023.01.02.01,52199,2023,1,2,1,1
99,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,2023.01.02.01,155844,2023,1,2,1,1
100,스티커 사진,21학번,스티커 사진,2023.01.02.01,60453,2023,1,2,1,1
46,그 겨울이 잠든 거리에서,"경서예지, 전건호",그 겨울이 잠든 거리에서 (경서예지 x 전건호),2023.01.09.02,21470,2023,1,9,2,1
51,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),쇼미더머니 11 Semi Final,2023.01.09.02,34755,2023,1,9,2,1
53,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,2023.01.09.02,72034,2023,1,9,2,1
54,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2023.01.09.02,265321,2023,1,9,2,1
55,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Episode 3,2023.01.09.02,38164,2023,1,9,2,1
59,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2023.01.09.02,135142,2023,1,9,2,1
66,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), 블라세 (BLASÉ), 노윤하, Polodared, Chillin Homie, Fleeky Bang",쇼미더머니 11 Episode 1,2023.01.09.02,55885,2023,1,9,2,1
69,아픈 나를 (Prod. By 나얼),성시경,나얼 <Ballad Pop City>,2023.01.09.02,22697,2023,1,9,2,1
70,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album,2023.01.09.02,111390,2023,1,9,2,1
72,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,2023.01.09.02,98277,2023,1,9,2,1
76,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Semi Final,2023.01.09.02,22138,2023,1,9,2,1
78,흩어지지 않게,엠씨더맥스 (M.C the MAX),흩어지지 않게,2023.01.09.02,26011,2023,1,9,2,1
79,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN,쇼미더머니 11 Episode 3,2023.01.09.02,24007,2023,1,9,2,1
82,이 소설의 끝을 다시 써보려 해,테이,이 소설의 끝을 다시 써보려 해,2023.01.09.02,11268,2023,1,9,2,1
84,신호등,이무진,신호등,2023.01.09.02,302824,2023,1,9,2,1
85,Yet To Come,방탄소년단,Proof,2023.01.09.02,129395,2023,1,9,2,1
89,손이 참 곱던 그대,임영웅,IM HERO,2023.01.09.02,50871,2023,1,9,2,1
90,SNEAKERS,ITZY (있지),CHECKMATE,2023.01.09.02,81216,2023,1,9,2,1
91,Beautiful Liar,몬스타엑스,REASON,2023.01.09.02,40497,2023,1,9,2,1
92,Graduation,NCT DREAM,Candy - Winter Special Mini Album,2023.01.09.02,73201,2023,1,9,2,1
93,사랑해 진짜,임영웅,IM HERO,2023.01.09.02,52135,2023,1,9,2,1
94,strawberry moon,아이유,strawberry moon,2023.01.09.02,230907,2023,1,9,2,1
95,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,2023.01.09.02,155844,2023,1,9,2,1
96,드라마,아이유,조각집,2023.01.09.02,190579,2023,1,9,2,1
97,연애편지,임영웅,IM HERO,2023.01.09.02,52199,2023,1,9,2,1
98,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지,쇼미더머니 11 Semi Final,2023.01.09.02,16221,2023,1,9,2,1
99,스티커 사진,21학번,스티커 사진,2023.01.09.02,60453,2023,1,9,2,1
100,사랑한다고 말해줘,탑현,사랑한다고 말해줘,2023.01.09.02,70784,2023,1,9,2,1
54,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,2023.01.16.03,72034,2023,1,16,3,1
58,그 겨울이 잠든 거리에서,"경서예지, 전건호",그 겨울이 잠든 거리에서 (경서예지 x 전건호),2023.01.16.03,21470,2023,1,16,3,1
64,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2023.01.16.03,135142,2023,1,16,3,1
65,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),쇼미더머니 11 Semi Final,2023.01.16.03,34755,2023,1,16,3,1
66,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2023.01.16.03,265321,2023,1,16,3,1
67,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), 블라세 (BLASÉ), 노윤하, Polodared, Chillin Homie, Fleeky Bang",쇼미더머니 11 Episode 1,2023.01.16.03,55885,2023,1,16,3,1
68,가슴으로 운다,김연지,가슴으로 운다,2023.01.16.03,13530,2023,1,16,3,1
71,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Episode 3,2023.01.16.03,38164,2023,1,16,3,1
72,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album,2023.01.16.03,111390,2023,1,16,3,1
73,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,2023.01.16.03,98277,2023,1,16,3,1
75,아픈 나를 (Prod. By 나얼),성시경,나얼 <Ballad Pop City>,2023.01.16.03,22697,2023,1,16,3,1
82,흩어지지 않게,엠씨더맥스 (M.C the MAX),흩어지지 않게,2023.01.16.03,26011,2023,1,16,3,1
85,Love War (Feat. BE‘O),YENA (최예나),Love War,2023.01.16.03,37439,2023,1,16,3,1
86,신호등,이무진,신호등,2023.01.16.03,302824,2023,1,16,3,1
87,Yet To Come,방탄소년단,Proof,2023.01.16.03,129395,2023,1,16,3,1
88,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Semi Final,2023.01.16.03,22138,2023,1,16,3,1
95,Beautiful Liar,몬스타엑스,REASON,2023.01.16.03,40497,2023,1,16,3,1
96,이 소설의 끝을 다시 써보려 해,테이,이 소설의 끝을 다시 써보려 해,2023.01.16.03,11268,2023,1,16,3,1
97,손이 참 곱던 그대,임영웅,IM HERO,2023.01.16.03,50871,2023,1,16,3,1
98,사랑해 진짜,임영웅,IM HERO,2023.01.16.03,52135,2023,1,16,3,1
99,SNEAKERS,ITZY (있지),CHECKMATE,2023.01.16.03,81216,2023,1,16,3,1
100,strawberry moon,아이유,strawberry moon,2023.01.16.03,230907,2023,1,16,3,1
60,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2023.01.23.04,135142,2023,1,23,4,1
62,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,2023.01.23.04,72034,2023,1,23,4,1
66,그 겨울이 잠든 거리에서,"경서예지, 전건호",그 겨울이 잠든 거리에서 (경서예지 x 전건호),2023.01.23.04,21470,2023,1,23,4,1
67,가슴으로 운다,김연지,가슴으로 운다,2023.01.23.04,13530,2023,1,23,4,1
70,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2023.01.23.04,265321,2023,1,23,4,1
71,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), 블라세 (BLASÉ), 노윤하, Polodared, Chillin Homie, Fleeky Bang",쇼미더머니 11 Episode 1,2023.01.23.04,55885,2023,1,23,4,1
